Rank,Boxer,Score
196,Thabiso Mchunu,0.0005
197,Krzysztof Glowacki,0.0005
198,Pedro Rodriguez,0.0005
199,Johnny Muller,0.0005
200,Andrey Knyazev,0.0005
201,Danie Venter,0.0005
202,Daniel Bruwer,0.0005
203,Francis Ngannou,0.0005
204,Dillian Whyte,0.0005
205,Otto Wallin,0.0005
206,Tom Schwarz,0.0005
207,Francesco Pianeta,0.0005
208,Sefer Seferi,0.0005
209,Christian Hammer,0.0005
210,Joey Abell,0.0005
211,Steve Cunningham,0.0005
212,Hans Joerg Blasko,0.0005
213,Robert Helenius,0.0005
214,Jermaine Franklin,0.0005
215,Kubrat Pulev,0.0005
216,Alexander Povetkin,0.0005
217,Carlos Takam,0.0005
218,Eric Molina,0.0005
219,Dominic Breazeale,0.0005
220,Charles Martin,0.0005
221,Gary Cornish,0.0005
222,Kevin Johnson,0.0005
223,Israil Madrimov,0.0005
224,David Avanesyan,0.0005
225,Shawn Porter,0.0005
226,Egidijus Kavaliauskas,0.0005
227,Jose Benavidez,0.0005
228,Julius Indongo,0.0005
229,Felix Diaz,0.0005
230,John Molina Jr,0.0005
231,Viktor Postol,0.0005
232,Henry Lundy,0.0005
233,Dierry Jean,0.0005
234,Thomas Dulorme,0.0005
235,Raymundo Beltran,0.0005
236,Yuriorkis Gamboa,0.0005
237,Ricky Burns,0.0005
238,Andrey Klimov,0.0005
239,Danny Garcia,0.0005
240,Mikey Garcia,0.0005
241,Carlos Ocampo,0.0005
242,Lamont Peterson,0.0005
243,Leonard Bundu,0.0005
244,Alejandro Barrera,0.0005
245,Chris Van Heerden,0.0005
246,Phil Lo Greco,0.0005
247,Samuel Vargas,0.0005
248,Kevin Lerena,0.0005
249,Trevor Bryan,0.0005
250,Joe Cusumano,0.0005
