rank,boxer,score
197,Filip Hrgovic,0.0011
198,Leon Spinks,0.0011
199,Junior Jones,0.0011
200,Richard Commey,0.0011
201,Jose Pedraza,0.0011
202,Jermall Charlo,0.0011
203,Alberto Massi,0.0011
204,Felipe Cambeiro,0.0011
205,Mario Javier Nieva,0.0011
206,Rolando Romero,0.0011
207,Howard Davis Jr,0.0011
208,Errol Spence Jr,0.0011
209,Paul Butler,0.0011
210,John Duddy,0.0011
211,John Ryder,0.0011
212,Montell Griffin,0.0011
213,Greg Haugen,0.001
214,George Kambosos Jr,0.001
215,Oscar Espinosa,0.001
216,Omar Amaya,0.001
217,Vince Phillips,0.001
218,Stephan Johnson,0.001
219,Akira Yaegashi,0.001
220,Curtis Cokes,0.001
221,Eleider Alvarez,0.001
222,Hilario Zapata,0.001
223,TJ Doheny,0.001
224,Juan Carlos Payano,0.001
225,Juan Escobar,0.0009
226,Antonio Nieves,0.0009
227,Ruslan Provodnikov,0.0009
228,Robbie Sims,0.0009
229,Tony Waddles,0.0009
230,Duilio Loi,0.0009
231,Jussi Koivula,0.0009
232,Jose Salgado,0.0009
233,Kal Yafai,0.0009
234,Gianfranco Rosi,0.0009
235,Omar Salado,0.0008
236,Freddie Norwood,0.0008
237,Rosendo Sanchez,0.0008
238,Edgar Berlanga,0.0008
239,Shane Mosley,0.0008
240,Darren Barker,0.0008
241,Randy Sandy,0.0008
242,Murodjon Akhmadaliev,0.0008
243,Zaur Abdullaev,0.0008
244,Kirkland Laing,0.0008
245,Brix Ray,0.0008
246,Masayoshi Segawa,0.0008
247,Ronald Barrera,0.0008
248,Richard Williams,0.0008
249,Alfredo Urbina,0.0007
250,Tony Perez,0.0007
251,Caleb Plant,0.0007
252,Terry Norris,0.0007
253,Deontay Wilder,0.0007
254,Pedro Carillo,0.0007
255,Andy Ruiz Jr,0.0007
256,Emmanuel Rodriguez,0.0007
257,Kongsadan SorPrateep,0.0007
258,Pairatnoi Chuwattana,0.0007
259,Jorge Reyes,0.0007
260,Zahir Raheem,0.0007
261,Noel Arambulet,0.0007
262,John Ruiz,0.0007
263,Maxim Babanin,0.0007
264,Sanderline Williams,0.0007
265,Vinny Pazienza,0.0007
266,Vernon Forrest,0.0007
267,Jesse Rodriguez,0.0007
268,Agapito Sanchez,0.0007
269,Beibut Shumenov,0.0007
270,Lou Filippo,0.0007
271,Genesis Servania,0.0007
272,Willy Wise,0.0007
273,Ernie Landeros,0.0007
274,Kenichiro Hamaguchi,0.0007
275,Tsutomu Oshigane,0.0007
276,Diego Chaves,0.0007
277,Tony Harrison,0.0007
278,Jose Luis Garcia,0.0006
279,Tarcisio Gomez,0.0006
280,Takashi Okada,0.0006
281,Albino Veron,0.0006
282,Derek Edwards,0.0006
283,Sak Galaxy,0.0006
284,Thulani Malinga,0.0006
285,Austin Trout,0.0006
286,Callum Smith,0.0006
287,Grover Young,0.0006
288,Manny Elias,0.0006
289,Doug Jones,0.0006
290,Kim Ki-Soo,0.0006
291,Celedonio Lima,0.0006
292,Chucho Castillo,0.0006
293,Tommy West,0.0006
294,Ernesto Marcel,0.0006
295,Drake Thadzi,0.0006
296,Joaquin Cruz,0.0006
297,Thomas Tate,0.0006
298,Segundo Mercado,0.0006
299,David Diaz,0.0006
300,Percy Manning,0.0006
301,Jacinto Fuentes,0.0005
302,Zab Judah,0.0005
303,Daigo Higa,0.0005
304,Leonardo Mas,0.0005
305,Denny Moyer,0.0005
306,LC Morgan,0.0005
307,Osley Silas,0.0005
308,Josh Taylor,0.0005
309,Manoel Severino,0.0005
310,Emilio Ale Ali,0.0005
311,Andres Antonio Selpa,0.0005
312,Billy Joe Saunders,0.0005
313,Tony Thornton,0.0005
314,Juan Hernandez,0.0005
315,Ismael Laguna,0.0005
316,David Sanchez,0.0005
317,James DeGale,0.0005
318,Zolani Tete,0.0005
319,Kell Brook,0.0005
320,Kuniaki Shibata,0.0005
321,Jody Ballard,0.0005
322,Tomoya Tsuboi,0.0005
323,Benny Paret,0.0005
324,Omar Nino Romero,0.0005
325,Eddie Hall,0.0005
326,Amnat Ruenroeng,0.0005
327,Daisuke Iida,0.0005
328,Kosei Tanaka,0.0005
329,Betulio Gonzalez,0.0005
330,Edgar Sosa,0.0005
331,Ubaldo Marcos Bustos,0.0005
332,Rafael Herrera,0.0005
333,Ricky Hatton,0.0005
334,Danny Garcia,0.0005
335,Oleksandr Gvozdyk,0.0004
336,Alfonso Perez,0.0004
337,Vicente Rondon,0.0004
338,Bennie Briscoe,0.0004
339,Kid Independence,0.0004
340,Floyd Cummings,0.0004
341,Jean-Marc Mormeck,0.0004
342,Juan Nazario,0.0004
343,Wendell Baily,0.0004
344,Humberto Gonzalez,0.0004
345,German Bastidas,0.0004
346,Amir Khan,0.0004
347,Jose Luis Varela,0.0004
348,Donnie Nietes,0.0004
349,Eric Harding,0.0004
350,Cassius Clay,0.0004
351,Larry Donald,0.0004
352,Jose Leonardo Cruz,0.0004
353,Cesar Najera,0.0004
354,Gabriel Campillo,0.0004
355,Art Hafey,0.0004
356,Alan Dean,0.0004
357,Luis Angel Martinez,0.0004
358,Abel Ochoa,0.0004
359,Oscar Arnal,0.0004
360,Alfonso Zamora,0.0004
361,Miguel Angel Gonzalez,0.0004
362,Joseph Parker,0.0004
363,Terry Caruthers,0.0004
364,Pat Lawlor,0.0004
365,Little Dundee,0.0004
366,Nicolino Locche,0.0004
367,Mauro Mina,0.0004
368,Marco Antonio Periban,0.0004
369,Ek Sit Por Daeng,0.0004
370,Marcos Maidana,0.0004
371,Billy Lyell,0.0004
372,Chris John,0.0004
373,Rubin Carter,0.0004
374,Henry Maske,0.0004
375,Hamzah Sheeraz,0.0004
376,Tom Bethea,0.0004
377,Daniel Roman,0.0004
378,Cam Raeside,0.0004
379,Aundalen Sloan,0.0004
380,Juan Aguilar,0.0004
381,Jimmy Lynas,0.0004
382,George Roe,0.0004
383,Gerry McNally,0.0004
384,Robert Allen,0.0004
385,Thomas Davis,0.0004
386,Alberto Rossel,0.0004
387,Carlos Teo Cruz,0.0004
388,Jose Gonzalez,0.0004
389,Shigeji Kaneko,0.0004
390,Masashi Akiyama,0.0004
391,Larry Bataan,0.0004
392,Jonathan Rodriguez,0.0003
393,Sadam Ali,0.0003
394,Akinobu Hiranaka,0.0003
395,Jack Catterall,0.0003
396,Masato Hatakeyama,0.0003
397,Ernie Terrell,0.0003
398,Juan Torres,0.0003
399,Joe Calvario,0.0003
400,Felix Sturm,0.0003
401,Muangchai Kittikasem,0.0003
402,Sot Chitalada,0.0003
403,Juan Carlos Salgado,0.0003
404,"Julio Cesar Chavez, Jr",0.0003
405,Billy Backus,0.0003
406,Grover Wiley,0.0003
407,Michael Alexander,0.0003
408,Jim Watt,0.0003
409,Jose Chirino,0.0003
410,Mark Ramsey,0.0003
411,Carlos Alberto Salinas,0.0003
412,Danny Lopez,0.0003
413,David Kotey,0.0003
414,Ingemar Johansson,0.0003
415,Hozumi Hasegawa,0.0003
416,Willie Armstrong,0.0003
417,Toshiaki Nitta,0.0003
418,Raul Marquez,0.0003
419,Donato Paduano,0.0003
420,Rafael Gutierrez,0.0003
421,Mike Lankester,0.0003
422,Bunny Sterling,0.0003
423,Harold Weston,0.0003
424,Mitch Green,0.0003
425,Genaro Hernandez,0.0003
426,Sal Lopez,0.0003
427,Zora Folley,0.0003
428,Cipriano Zuluaga,0.0003
429,Kermit Cintron,0.0003
430,Jonathan Gonzalez,0.0003
431,Jermain Taylor,0.0003
432,Julio Diaz,0.0003
433,Manuel Gonzalez,0.0003
434,Don Fullmer,0.0003
435,Mustafa Hamsho,0.0003
436,Sultan Ibragimov,0.0003
437,Jerry Forrest,0.0003
438,Jose Cervantes,0.0003
439,Ellsworth Webb,0.0003
440,Jack Arnfield,0.0003
441,Leo Alonzo,0.0003
442,Hekkie Budler,0.0003
443,Eagle Kyowa,0.0003
444,Heliodoro Pitalua,0.0003
445,Nestor Rojas,0.0003
446,Victor Cano,0.0003
447,Carlos Tamara,0.0003
448,Antonio DeMarco,0.0003
449,Michael Nunn,0.0003
450,Davey Moore,0.0003
451,Nikolai Valuev,0.0003
452,Alfredo Layne,0.0003
453,Ricky Quiles,0.0003
454,Robin Sirwan Safar,0.0003
455,Carlos Bojorquez,0.0003
456,Brian Norman Jr,0.0003
457,Chris Walsh,0.0003
458,Kazuto Ioka,0.0003
459,Raushee Warren,0.0003
460,Jaidon Codrington,0.0003
461,Bobby Chacon,0.0003
462,Mauricio Herrera,0.0003
463,Max Maxwell,0.0003
464,Brandon Glanton,0.0003
465,Joey Giardello,0.0003
466,Daigo Nakahiro,0.0003
467,Raymond Muratalla,0.0003
468,Ricardo Torres,0.0003
469,Denis Shafikov,0.0003
470,Robert Easter Jr,0.0003
471,Miguel Berrios,0.0003
472,Sandy Saddler,0.0003
473,Ryosuke Iwasa,0.0003
474,Firat Arslan,0.0003
475,Francisco Rodriguez Jr,0.0003
476,Brian Castano,0.0003
477,Doyle Baird,0.0003
478,Roberto Bolonti,0.0003
479,Cruz Marcano,0.0002
480,Ignacio Espinal,0.0002
481,Scott LeDoux,0.0002
482,Reggie Sanders,0.0002
483,Roberto Apodaca,0.0002
484,Sergio Thompson,0.0002
485,Leotis Martin,0.0002
486,Derek Chisora,0.0002
487,Nigel Benn,0.0002
488,Nikolai Potapov,0.0002
489,Jose Santa Cruz,0.0002
490,Earnie Shavers,0.0002
491,Mikey Garcia,0.0002
492,Park Chan-hee,0.0002
493,James Kirkland,0.0002
494,Dan Azeez,0.0002
495,Wilf Greaves,0.0002
496,Andrzej Fonfara,0.0002
497,Francisco Reyes,0.0002
498,Danny Williams,0.0002
499,Kaichon Sor Vorapin,0.0002
500,Panomroonglek Kratingdaenggym,0.0002
501,Omsap Laemfapha,0.0002
502,Moises Flores,0.0002
503,Mirko Wolf,0.0002
504,Andrey Pestryayev,0.0002
505,Jorge Vaca,0.0002
506,Tommy Karpency,0.0002
507,Antonio Gomez,0.0002
508,Francisco Bolivar,0.0002
509,Merqui Sosa,0.0002
510,Ulises Lara,0.0002
511,Louie Leija,0.0002
512,Jesus Roberto Chavez,0.0002
513,Larry OShields,0.0002
514,Tony Duran,0.0002
515,Kino Rodriguez,0.0002
516,Jerry Cooper,0.0002
517,Jose Ramirez,0.0002
518,John Riel Casimero,0.0002
519,Yoshiki Takei,0.0002
520,Uriah Grant,0.0002
521,Stanley Hayward,0.0002
522,Magomed Kurbanov,0.0002
523,Orlin Norris,0.0002
524,Carlos Herrera,0.0002
525,Matthew Hilton,0.0002
526,Paulie Malignaggi,0.0002
527,Tommy Romulo,0.0002
528,Akiyoshi Akanuma,0.0002
529,Nick Blackwell,0.0002
530,Craig McEwan,0.0002
531,Tommy Morrison,0.0002
532,Jimmy Ellis,0.0002
533,Cody Jones,0.0002
534,Tenshin Nasukawa,0.0002
535,Samuel Peter,0.0002
536,Ionut Baluta,0.0002
537,Jeff Horn,0.0002
538,Kevin McBride,0.0002
539,Angky Angkotta,0.0002
540,Anthony Fletcher,0.0002
541,Rafael Sierra,0.0002
542,Alexandro Santiago,0.0002
543,Joseph Kiwanuka,0.0002
544,Armando Resendiz,0.0002
545,Tony Pep,0.0002
546,Gustavo Cuello,0.0002
547,Miguel Melo,0.0002
548,Sam Girard,0.0002
549,Hector Arroyo,0.0002
550,Giovani Segura,0.0002
551,Charlie Edwards,0.0002
552,Vincent Astrolabio,0.0002
553,Anthony Mundine,0.0002
554,John H Stracey,0.0002
555,Andrew Golota,0.0002
556,Nicholas Walters,0.0002
557,Joshua Greer Jr,0.0002
558,Gerry Cooney,0.0002
559,Carlos Canizales,0.0002
560,Aaron Martinez,0.0002
561,Candido Tellez,0.0002
562,Gabriel Bernal,0.0002
563,Denis Lebedev,0.0002
564,Luis Nery,0.0002
565,Max Bursak,0.0002
566,Isaac Rodrigues,0.0002
567,Rafael Gandarilla,0.0002
568,Chris Algieri,0.0002
569,Noel Mikaelian,0.0002
570,Teppei Kikui,0.0002
571,Gerardo Valenzuela Munoz,0.0002
572,Kaizer Mabuza,0.0002
573,Michael Conlan,0.0002
574,Sheldon Mosley,0.0002
575,Mike Walker,0.0002
576,Miguel Galindo,0.0002
577,Oisin Fagan,0.0002
578,Jojo Bardon,0.0002
579,Juan Carlo Duran,0.0002
580,Paolo Rosi,0.0002
581,Solomon Boysaw,0.0002
582,Vicente Rivas,0.0002
583,Sven Ottke,0.0002
584,Carlos Melo,0.0002
585,Justin Juuko,0.0002
586,Manoocha Salari,0.0002
587,Tanawat Phonnaku,0.0002
588,Pat McAteer,0.0002
589,Buddy McGirt,0.0002
590,Chris Eubank Jr,0.0002
591,Adolpho Washington,0.0002
592,Bernardo Mercado,0.0002
593,Joe Manley,0.0002
594,Michael Eifert,0.0002
595,Rodolfo Ortega,0.0002
596,Gary Antonio Russell,0.0002
597,Margarito Marquez,0.0002
598,Reynaldo Lopez,0.0002
599,Lucas Matthysse,0.0002
600,Orvill Qualls,0.0002
601,"Al ""Blue"" Lewis",0.0002
602,Demetrius Andrade,0.0002
603,Keyshawn Davis,0.0002
604,Rayonta Whitfield,0.0002
605,Lamont Peterson,0.0002
606,Jose Zepeda,0.0002
607,Travis Hartman,0.0002
608,Ruben Galvan,0.0002
609,Ryan Maraldo,0.0002
610,Leroy Newton,0.0002
611,Richie Mepranum,0.0002
612,Luis Concepcion,0.0002
613,Stephon Young,0.0002
614,Omar Sheika,0.0002
615,Syd Vanderpool,0.0002
616,Silvio Branco,0.0002
617,Arnold Barboza Jr,0.0002
618,Gregorio Vargas,0.0002
619,Yuki Chinen,0.0002
620,Denver Cuello,0.0002
621,Leonard Bundu,0.0002
622,Łukasz Maciec,0.0002
623,Jessie Magdaleno,0.0002
624,Peter Quillin,0.0002
625,Yordenis Ugas,0.0002
626,John Molina Jr,0.0002
627,Samuel Vargas,0.0002
628,Carson Jones,0.0002
629,Joey Archer,0.0002
630,Eduardo Becerril,0.0002
631,Diego Armando Santana,0.0002
632,Sam Goodman,0.0002
633,Jesus Geles,0.0002
634,Shad Howard,0.0002
635,Tyler Ziolkowski,0.0002
636,Barry McGuigan,0.0002
637,Jeff Fenech,0.0002
638,Sergio Mora,0.0002
639,Jorge Castro,0.0002
640,Tim Anderson,0.0002
641,Yassine El maachi,0.0002
642,Victor Lupo Puiu,0.0002
643,David Cuellar,0.0002
644,Gerrie Coetzee,0.0002
645,Ivan Calderon,0.0002
646,Jesus Chavez,0.0002
647,Randy Petalcorin,0.0002
648,Rory Calhoun,0.0002
649,David Avanesyan,0.0002
650,Jean-Claude Bouttier,0.0002
651,Aaron McKenna,0.0001
652,Rocky Gannon,0.0001
653,Tosca Petridis,0.0001
654,Scott Papasodora,0.0001
655,Michał Cieslak,0.0001
656,Andre Berto,0.0001
657,Julio Cesar Miranda,0.0001
658,Koki Kameda,0.0001
659,Shannon Briggs,0.0001
660,Matthew Macklin,0.0001
661,Adrian Tellez,0.0001
662,Nobuo Nashiro,0.0001
663,Ray Sanchez,0.0001
664,Louis Brown,0.0001
665,Raul Jorge Munoz,0.0001
666,Edgar Castro,0.0001
667,William Joppy,0.0001
668,Teruo Kosaka,0.0001
669,James Tillis,0.0001
670,Mateo Handig,0.0001
671,Frankie Gavin,0.0001
672,Derrick Harmon,0.0001
673,Jose Luis Castillo,0.0001
674,Roman Martinez,0.0001
675,Yakubu Amidu,0.0001
676,Tony Mundine,0.0001
677,Jorge Cardenas,0.0001
678,Zoran Didanovic,0.0001
679,Marcello Matano,0.0001
680,Vicente Sagrestano,0.0001
681,Howard Eastman,0.0001
682,Carl Frampton,0.0001
683,Saul Duran,0.0001
684,Ivan Redkach,0.0001
685,Bruce Williams,0.0001
686,Rafael Concepcion,0.0001
687,Raul Garcia,0.0001
688,Rufus Braswell,0.0001
689,George Hill,0.0001
690,Johnny Hudgins,0.0001
691,Antonio Valencia,0.0001
692,Nick Ball,0.0001
693,Matt Vanda,0.0001
694,Tobia Giuseppe Loriga,0.0001
695,Jesse James Leija,0.0001
696,Omar Gonzalez,0.0001
697,Trevor Berbick,0.0001
698,Festim Kryeziu,0.0001
699,Guillermo Morales,0.0001
700,Phillip Ndou,0.0001
701,Victoriano Sosa,0.0001
702,Artem Dalakian,0.0001
703,Pablo Cesar Cano,0.0001
704,Angelino Cordova,0.0001
705,Tony Licata,0.0001
706,Jose Luis Duran,0.0001
707,Victor Ortiz,0.0001
708,Mario Martinez,0.0001
709,Bernard Taylor,0.0001
710,Rudy Alpizar,0.0001
711,Greg Mangan,0.0001
712,Chana Porpaoin,0.0001
713,Juan Jose Francisco Marquez Solano,0.0001
714,Willie Monroe Jr,0.0001
