rank,boxer,score
198,Murodjon Akhmadaliev,0.0009
199,Darren Barker,0.0009
200,Richard Williams,0.0009
201,Akira Yaegashi,0.0009
202,Frankie Randall,0.0009
203,Edgar Berlanga,0.0009
204,Julio Cesar Martinez,0.0009
205,Yordenis Ugas,0.0009
206,George Kambosos Jr,0.0009
207,Jussi Koivula,0.0009
208,Henry Maske,0.0009
209,Genesis Servania,0.0009
210,Uriah Grant,0.0009
211,Orlando Salido,0.0008
212,Mario Barrios,0.0008
213,Jeff Horn,0.0008
214,Agapito Sanchez,0.0008
215,Medgoen Singsurat,0.0008
216,Rustico Torrecampo,0.0008
217,Antonio Nieves,0.0008
218,Caleb Plant,0.0008
219,Gianfranco Rosi,0.0008
220,Ronald Barrera,0.0008
221,Omar Salado,0.0008
222,Tomoya Tsuboi,0.0008
223,Jesse Rodriguez,0.0008
224,Jose Salgado,0.0008
225,Nicolino Locche,0.0008
226,Bennie Briscoe,0.0008
227,Jose Luis Ramirez,0.0008
228,Chris John,0.0008
229,Freddie Norwood,0.0008
230,Javier Duran,0.0008
231,John Ruiz,0.0007
232,Beibut Shumenov,0.0007
233,Shane Mosley,0.0007
234,Jean-Marc Mormeck,0.0007
235,Firat Arslan,0.0007
236,Sumbu Kalambay,0.0007
237,Kermit Cintron,0.0007
238,Mario Javier Nieva,0.0007
239,Danny Garcia,0.0007
240,Terry Norris,0.0007
241,Darnell Boone,0.0007
242,Oleksandr Gvozdyk,0.0007
243,James DeGale,0.0007
244,Emmanuel Rodriguez,0.0007
245,Jimmy Young,0.0006
246,Shannon Briggs,0.0006
247,Tommy Morrison,0.0006
248,Tony Harrison,0.0006
249,Brian Castano,0.0006
250,Juan Aguilar,0.0006
251,Antonio Aguilar,0.0006
252,Manoel Severino,0.0006
253,Emilio Ale Ali,0.0006
254,Carlos Alberto Salinas,0.0006
255,Alberto Massi,0.0006
256,Ubaldo Marcos Bustos,0.0006
257,Celedonio Lima,0.0006
258,Felipe Cambeiro,0.0006
259,Andres Antonio Selpa,0.0006
260,Albino Veron,0.0006
261,Austin Trout,0.0006
262,Sadam Ali,0.0006
263,Vinny Pazienza,0.0006
264,Amir Khan,0.0006
265,John H Stracey,0.0006
266,Billy Backus,0.0006
267,LC Morgan,0.0006
268,Alfredo Urbina,0.0006
269,Tony Perez,0.0006
270,Hilton Smith,0.0006
271,Kell Brook,0.0006
272,Pat Lawlor,0.0006
273,Ricky Hatton,0.0006
274,Marcos Maidana,0.0006
275,Francisco Tomas da Cruz,0.0006
276,Ernie Landeros,0.0006
277,Floyd Cummings,0.0006
278,Jack Catterall,0.0006
279,Robin Sirwan Safar,0.0006
280,Grover Young,0.0006
281,Andrzej Fonfara,0.0006
282,Callum Smith,0.0006
283,Denis Lebedev,0.0006
284,Montell Griffin,0.0006
285,Carlos Teo Cruz,0.0005
286,Ismael Laguna,0.0005
287,Kenny Lane,0.0005
288,Duilio Loi,0.0005
289,Johnny Busso,0.0005
290,Lou Filippo,0.0005
291,Sak Galaxy,0.0005
292,Kongsadan SorPrateep,0.0005
293,Pairatnoi Chuwattana,0.0005
294,Ek Sit Por Daeng,0.0005
295,Billy Joe Saunders,0.0005
296,Kuniaki Shibata,0.0005
297,Baby Luis,0.0005
298,Julio Diaz,0.0005
299,Jonathan Rodriguez,0.0005
300,Robbie Sims,0.0005
301,Derek Chisora,0.0005
302,Maxim Babanin,0.0005
303,Grover Wiley,0.0005
304,Willy Wise,0.0005
305,Miguel Angel Gonzalez,0.0005
306,Mario Martinez,0.0005
307,Hector Camacho Jr,0.0005
308,Jorge Arce,0.0005
309,Vicente Sagrestano,0.0005
310,Joe Smith Jr,0.0005
311,Jermain Taylor,0.0005
312,Robert Allen,0.0005
313,Segundo Mercado,0.0005
314,Clinton Mitchell,0.0005
315,Jonathan Gonzalez,0.0005
316,Amnat Ruenroeng,0.0005
317,Jake Paul,0.0005
318,Vince Phillips,0.0005
319,Leonardo Mas,0.0005
320,David Diaz,0.0005
321,Zahir Raheem,0.0005
322,Genaro Hernandez,0.0005
323,Brandon Glanton,0.0005
324,Muangchai Kittikasem,0.0005
325,Sot Chitalada,0.0005
326,Humberto Gonzalez,0.0005
327,Hilario Zapata,0.0005
328,Raymond Muratalla,0.0005
329,Ernesto Marcel,0.0005
330,Scott Walker,0.0005
331,Jorge Reyes,0.0005
332,Oscar Espinosa,0.0005
